,Time,VNE atom7 t_q = linear flat,VNE atom6 t_q = linear flat,VNE atom5 t_q = linear flat,VNE atom4 t_q = linear flat,VNE atom3 t_q = linear flat,VNE atom2 t_q = linear flat,VNE atom7 t_q = 7,VNE atom6 t_q = 7,VNE atom5 t_q = 7,VNE atom4 t_q = 7,VNE atom3 t_q = 7,VNE atom2 t_q = 7
11,0.011,0.0016198539560442204,0.0029879945840832235,0.0030044362981542783,0.002992498462813747,0.003004436298154556,0.00298799458408377,0.001619853972063906,0.0029879945898236794,0.003004436643784539,0.002992497958269132,0.0030046295224469277,0.0031049343657710473
12,0.012,0.002233780952121428,0.004096307799812056,0.004127742707664542,0.0041032775360081535,0.004127742707664084,0.004096307799812266,0.0022337809887239823,0.004096307813969937,0.004127743483483506,0.004103276141667872,0.0041281120109097486,0.0042849073188591475
13,0.013000000000000001,0.0029524337629690395,0.005379018367775643,0.005436053269059715,0.005389195460471589,0.005436053269059632,0.00537901836777576,0.0029524338397598215,0.005379018400628474,0.005436054873107346,0.0053891923010026994,0.005436718011707753,0.005665009466670649
14,0.014,0.003757520344580434,0.006796139569016681,0.0068945937131580926,0.006810221513128761,0.006894593713158037,0.006796139569016809,0.0037575204941527884,0.006796139640815441,0.006894596798649455,0.006810215282744421,0.006895732303645916,0.007206753605682121
15,0.015,0.00462174296905344,0.008291002641442006,0.00845311115257344,0.008309516300344946,0.008453111152573009,0.008291002641442011,0.004621743241905278,0.008291002789572932,0.008453116719556494,0.008309505322849128,0.008454983996163894,0.008852132875402263
16,0.016,0.005510454233774671,0.009793862374834449,0.01004912347916044,0.009817014706455044,0.010049123479160704,0.009793862374834462,0.005510454703228272,0.009793862664220514,0.010049132963018542,0.009816997222484644,0.010052106342113537,0.01052659478408444
17,0.017,0.006384149849178365,0.011227084916338382,0.01161246607329463,0.011254608418539851,0.011612466073294588,0.011227084916337823,0.006384150615315692,0.011227085453365794,0.011612481410791006,0.011254583205102649,0.011617100319887538,0.012144009435972714
18,0.018000000000000002,0.007201559047145319,0.012511416972748948,0.013070673281342062,0.012542434048928047,0.013070673281341816,0.012511416972749063,0.007201560238531756,0.012511417922326299,0.013070696929665209,0.012542401446463902,0.013077742310991815,0.013613292431691154
19,0.019,0.00792303594061252,0.013572727491697332,0.014354688457825237,0.013605663189472435,0.014354688457825029,0.013572727491697335,0.00792303771246156,0.013572729095926824,0.01435472333899937,0.01360562653955076,0.014365332798649554,0.014846196604784206
20,0.02,0.008513929721155809,0.01434857136722026,0.015404408570599284,0.014381146527619716,0.01540440857059988,0.014348571367220389,0.008513932248674503,0.01434857396270257,0.015404457913915613,0.01438111390705305,0.015420295080819903,0.01576568951040419
21,0.021,0.008947617049979487,0.014793947522376834,0.016173620312717442,0.014823283309191856,0.01617362031271697,0.014793947522376958,0.008947620516062856,0.014793951551424493,0.016173687372647978,0.0148232692917076,0.016197183183316075,0.016314288030327632
22,0.022,0.009207912803091793,0.014885703438681884,0.01663395630944229,0.014908562744308471,0.01663395630944236,0.014885703438681907,0.009207917380192415,0.014885709447986263,0.016634043946719954,0.014908589748833613,0.016668728098914683,0.016461724886346188
23,0.023,0.00929063041090402,0.014625163867375123,0.016777577917703287,0.014638344806764347,0.01677757791770309,0.014625163867375043,0.009290636237888537,0.014625172486333406,0.01677768804757508,0.014638443434419994,0.016828626251406405,0.016211365309612674
