,Time,VNE atom7 t_q = linear flat,VNE atom7 t_q = 8,VNE atom6 t_q = linear flat,VNE atom6 t_q = 8,VNE atom5 t_q = linear flat,VNE atom5 t_q = 8,VNE atom4 t_q = linear flat,VNE atom4 t_q = 8,VNE atom3 t_q = linear flat,VNE atom3 t_q = 8,VNE atom2 t_q = linear flat,VNE atom2 t_q = 8
190,0.19,0.050199624815556815,0.052565514260838234,0.06188268824250091,0.06621783612712792,0.08126341252764194,0.13248107292920103,0.06469959275409302,0.13749886981162135,0.08126341252764169,0.5034376331716803,0.06188268824250118,0.4846377042123857
191,0.191,0.05099738831982993,0.05348877045200576,0.06223022152924988,0.06669593641089096,0.08183452355702596,0.13421564406253333,0.06499727110070816,0.13942052623233708,0.081834523557026,0.5084128177020018,0.06223022152924999,0.49084008701545423
192,0.192,0.05175830027696782,0.05437289283245109,0.06247515479870497,0.0670266415041589,0.08238164371771353,0.13596124380881539,0.06521233953621992,0.14078234255558178,0.08238164371771388,0.5130686600161133,0.06247515479870553,0.49735540373692533
193,0.193,0.052469516345567076,0.0552040298968173,0.06262263155703351,0.06721626246786244,0.08289531775077603,0.1377084100421448,0.06535795389328336,0.1416388783323957,0.0828953177507762,0.5173705386333268,0.06262263155703432,0.5038548274581194
194,0.194,0.053123342032464535,0.05597352422502773,0.06268114992843873,0.06727655815078035,0.08336983206728628,0.13945031042012956,0.06545089485712227,0.14207763509694069,0.08336983206728651,0.5212929890826151,0.06268114992843923,0.5100266791798482
195,0.195,0.05371698358642688,0.056677685001395445,0.0626618779241366,0.06722362972658014,0.08380342821657492,0.1411826303796185,0.06550966422867419,0.14220900026552702,0.08380342821657524,0.5248191173314092,0.06266187792413724,0.5156121573953683
196,0.196,0.054251811092644264,0.0573170779235656,0.06257825512356914,0.06707715308206766,0.08419814463013842,0.14290322613329734,0.06555278073442106,0.14215549088909968,0.0841981446301389,0.527940225898466,0.06257825512356961,0.520430593773805
197,0.197,0.05473226974957612,0.05789546653833218,0.06244586602486397,0.066859985183682,0.08455930545444439,0.14461159366984405,0.06559746057691117,0.1420414718554816,0.08455930545444496,0.5306556891342992,0.062445866024864335,0.5243915496298517
198,0.198,0.05516460782871002,0.05841857068605509,0.06228247585699384,0.06659805241183457,0.08489470676306202,0.14630821988372128,0.06565878068774016,0.14198435670543258,0.0848947067630616,0.5329730154414944,0.062282475856994604,0.5274931690080027
199,0.199,0.055555599217300106,0.05889281670507113,0.06210804858256146,0.06632031930002841,0.08521357892742179,0.14799389115653722,0.06574932454913655,0.14208799230092375,0.08521357892742223,0.5349079545825421,0.06210804858256191,0.5298081609660578
200,0.2,0.05591142413217666,0.05932423986712622,0.06194453695063499,0.0660585697339778,0.08552542759590406,0.14966903744285737,0.06587921985039932,0.14243851824072473,0.08552542759590426,0.5364844619104976,0.061944536950635835,0.5314604357100308
201,0.201,0.056236835956578794,0.05971766460550076,0.06181525641844941,0.06584672775007543,0.08583887182419933,0.15133318563112827,0.06605641159682049,0.14310254781273415,0.08583887182419944,0.5377343268044787,0.06181525641844919,0.5325966300976238
