,Time,VNE atom7 t_q = linear flat,VNE atom7 t_q = 10,VNE atom6 t_q = linear flat,VNE atom6 t_q = 10,VNE atom5 t_q = linear flat,VNE atom5 t_q = 10,VNE atom4 t_q = linear flat,VNE atom4 t_q = 10,VNE atom3 t_q = linear flat,VNE atom3 t_q = 10,VNE atom2 t_q = linear flat,VNE atom2 t_q = 10
233,0.233,0.0600391823762214,0.1347966381350199,0.08591665540751846,0.24858928729950996,0.09794997403406502,0.49753333232173624,0.10399651311041887,0.5813555712314424,0.09794997403406581,0.6387050764619622,0.08591665540751861,0.6080979700167687
234,0.234,0.06005703046546176,0.1361293066483817,0.08604630155036289,0.25365166164455766,0.09806866816857422,0.4997439478855835,0.10391629325996085,0.5835378586881501,0.09806866816857426,0.6389341108190332,0.08604630155036352,0.609531292293034
235,0.23500000000000001,0.0600742340681332,0.13735420677750235,0.08622317278904851,0.2589034056338356,0.09814019709005042,0.502186328738837,0.10382514930811723,0.5857960222398997,0.0981401970900512,0.6391887098233731,0.08622317278904866,0.6109986745160174
236,0.23600000000000002,0.060091604232202334,0.13851607791932105,0.08644242084858864,0.26427282583595046,0.09816470004113304,0.504939856126962,0.10373013078906192,0.588142340998671,0.09816470004113335,0.6394808093872922,0.08644242084858857,0.6124793368419722
237,0.23700000000000002,0.06010983840179471,0.13966674812296498,0.08669682232713002,0.2696789096035881,0.09814344145575593,0.5080627120891514,0.10363784858046571,0.5905841886298262,0.09814344145575639,0.6398209713747758,0.08669682232712997,0.6139251366039549
238,0.23800000000000002,0.06012950933253139,0.14086357973695363,0.08697720253988486,0.27503570591897225,0.09807886714078183,0.5115898515367883,0.103554319569191,0.593125619634439,0.09807886714078212,0.640217936118586,0.0869772025398849,0.615265924964904
239,0.23900000000000002,0.06015100332129045,0.14216750876909331,0.08727300676710911,0.28025779581952837,0.09797472177460095,0.5155331860131618,0.10348486636233806,0.5957688325108338,0.09797472177460109,0.6406781840372004,0.08727300676711014,0.61641932059879
240,0.24,0.06017442133587956,0.1436407360080285,0.08757296407098422,0.2852664270383054,0.09783619072477531,0.5198837051262875,0.10343405945625543,0.5985151471694484,0.09783619072477545,0.64120552646542,0.08757296407098403,0.6173033554792671
241,0.241,0.060199466216885204,0.14534416201916503,0.08786578004224066,0.2899957425052331,0.09767001460034178,0.5246149867083825,0.10340568359611026,0.6013652310334553,0.09767001460034146,0.6418007544671802,0.08786578004224128,0.6178499660269781
242,0.242,0.06022534435451184,0.1473346897275923,0.0881407949354198,0.2943984543152581,0.09748451982433919,0.529687384993941,0.1034027077929671,0.6043184572630089,0.09748451982433953,0.6424613809616777,0.08814079493541982,0.6180171628086957
243,0.243,0.06025071019053546,0.1496625429598641,0.08838855176562883,0.29845031503530695,0.09728951389344845,0.5350521660635655,0.10342724010545784,0.6073714554873894,0.09728951389344781,0.6431815125896501,0.08838855176562871,0.6177979186047986
244,0.244,0.06027367652519536,0.15236876244692465,0.08860123303773584,0.30215281878075045,0.09709600940636037,0.5406549794347217,0.1034804537406686,0.6105160907263039,0.09709600940636072,0.6439518816143653,0.08860123303773546,0.6172243184381692
245,0.245,0.06029190378412207,0.15548303877400507,0.08877294225600264,0.3055337193348286,0.09691576448770331,0.546438283283369,0.10356247963027695,0.6137372492873618,0.09691576448770362,0.6447600551707331,0.08877294225600307,0.6163662303938382
246,0.246,0.060302768735525765,0.15902202313955371,0.08889982458894605,0.3086451688542045,0.09676065576174364,0.5523426270809787,0.10367227129287068,0.6170108949001314,0.09676065576174432,0.6455908217579558,0.08889982458894588,0.6153245777646766
247,0.247,0.06030359973227356,0.16298822307693545,0.08898003778556215,0.311559539042015,0.09664192940141655,0.558306979152457,0.10380745909363578,0.620302866598908,0.09664192940141667,0.64642673676868,0.08898003778556271,0.6142201080768002
248,0.248,0.060291953597073386,0.1673695460307471,0.08901359798030832,0.31436326094988754,0.09656940126532018,0.5642685107348181,0.10396422138021376,0.623568816720316,0.09656940126532065,0.6472487940859826,0.08901359798030874,0.6131792485199585
249,0.249,0.060265900734120734,0.17213950546384366,0.08900213432604802,0.31714927695824363,0.09655069403459698,0.570162369402424,0.10413720778238376,0.6267555415567748,0.096550694034597,0.6480371825199591,0.08900213432604873,0.6123191027778923
250,0.25,0.060224281339899516,0.1772580590330471,0.08894859094808194,0.32000890124375064,0.09659060372777624,0.5759219716741293,0.10431955365947264,0.629803760141971,0.09659060372777645,0.648772085504742,0.08894859094808236,0.6117337948251244
